name,overs,maidens,runs,wickets,economy,0s,4s,6s,wides,no-balls,bpo,balls,team,inns,pos,start date,ground,grnd_ctry
Glenn McGrath,26,3,85,3,3.26,114,12,0,0,1,6,156,Australia,3,1,8/09/2005,The Oval,England
Shane Warne,38.3,3,124,6,3.22,165,8,4,1,0,6,231,Australia,3,3,8/09/2005,The Oval,England
James Anderson,29,6,141,1,4.86,124,20,2,1,0,6,174,England,1,3,23/11/2006,Brisbane,Australia
Glenn McGrath,23.1,8,50,6,2.15,117,6,0,0,1,6,139,Australia,2,2,23/11/2006,Brisbane,Australia
Shane Warne,9,0,25,0,2.77,39,3,0,0,0,6,54,Australia,2,4,23/11/2006,Brisbane,Australia
James Anderson,9,1,54,0,6,26,6,0,0,0,6,54,England,3,2,23/11/2006,Brisbane,Australia
Glenn McGrath,19,3,53,1,2.78,94,8,0,0,3,6,114,Australia,4,2,23/11/2006,Brisbane,Australia
Shane Warne,34,7,124,4,3.64,152,16,1,1,1,6,204,Australia,4,4,23/11/2006,Brisbane,Australia
Glenn McGrath,30,5,107,0,3.56,128,10,1,0,0,6,180,Australia,1,2,1/12/2006,Adelaide,Australia
Shane Warne,53,9,167,1,3.15,219,15,1,1,0,6,318,Australia,1,4,1/12/2006,Adelaide,Australia
James Anderson,21.3,3,85,1,3.95,89,10,0,0,0,6,129,England,2,4,1/12/2006,Adelaide,Australia
Glenn McGrath,10,6,15,2,1.5,54,2,0,1,0,6,60,Australia,3,2,1/12/2006,Adelaide,Australia
Shane Warne,32,12,49,4,1.53,161,4,0,0,0,6,192,Australia,3,3,1/12/2006,Adelaide,Australia
James Anderson,3.5,0,23,0,6,13,3,0,0,0,6,23,England,4,5,1/12/2006,Adelaide,Australia
Glenn McGrath,18,5,48,2,2.66,89,5,0,0,4,6,108,Australia,2,2,14/12/2006,Perth,Australia
Shane Warne,9,0,41,1,4.55,32,4,1,0,0,6,54,Australia,2,4,14/12/2006,Perth,Australia
Glenn McGrath,27,9,61,2,2.25,139,7,0,1,4,6,162,Australia,4,2,14/12/2006,Perth,Australia
Shane Warne,39.2,6,115,4,2.92,174,10,2,0,0,6,236,Australia,4,4,14/12/2006,Perth,Australia
Glenn McGrath,20,8,37,1,1.85,103,4,0,0,1,6,120,Australia,1,2,26/12/2006,Melbourne,Australia
Shane Warne,17.2,4,39,5,2.25,81,3,0,0,0,6,104,Australia,1,5,26/12/2006,Melbourne,Australia
Glenn McGrath,12,2,26,1,2.16,59,0,0,1,0,6,72,Australia,3,2,26/12/2006,Melbourne,Australia
Shane Warne,19,3,46,2,2.42,85,2,0,0,0,6,114,Australia,3,4,26/12/2006,Melbourne,Australia
Glenn McGrath,29,8,67,3,2.31,147,7,0,0,2,6,174,Australia,1,1,2/01/2007,Sydney,Australia
Shane Warne,22.4,1,69,1,3.04,93,7,0,0,0,6,136,Australia,1,4,2/01/2007,Sydney,Australia
James Anderson,26,8,98,3,3.76,117,12,1,1,0,6,156,England,2,2,2/01/2007,Sydney,Australia
Glenn McGrath,21,11,38,3,1.8,114,6,0,0,1,6,126,Australia,3,2,2/01/2007,Sydney,Australia
Shane Warne,6,1,23,1,3.83,26,4,0,0,0,6,36,Australia,3,4,2/01/2007,Sydney,Australia
James Anderson,4,0,12,0,3,19,2,0,0,0,6,24,England,4,1,2/01/2007,Sydney,Australia
James Anderson,32,6,110,2,3.43,138,11,0,1,0,6,192,England,2,1,8/07/2009,Cardiff,England
Stuart Broad,32,6,129,1,4.03,141,18,0,2,0,6,192,England,2,2,8/07/2009,Cardiff,England
James Anderson,21,5,55,4,2.61,101,6,0,0,0,6,126,England,2,1,16/07/2009,Lord's,England
Stuart Broad,18,1,78,2,4.33,72,11,0,0,0,6,108,England,2,3,16/07/2009,Lord's,England
James Anderson,21,4,86,0,4.09,87,14,0,0,0,6,126,England,4,1,16/07/2009,Lord's,England
Stuart Broad,16,3,49,1,3.06,70,6,0,0,0,6,96,England,4,4,16/07/2009,Lord's,England
James Anderson,24,7,80,5,3.33,107,13,0,0,0,6,144,England,1,1,30/07/2009,Birmingham,England
Stuart Broad,13,2,51,0,3.92,59,9,0,0,0,6,78,England,1,4,30/07/2009,Birmingham,England
James Anderson,21,8,47,1,2.23,100,5,0,0,1,6,126,England,3,1,30/07/2009,Birmingham,England
Stuart Broad,16,2,38,2,2.37,78,5,0,1,0,6,96,England,3,5,30/07/2009,Birmingham,England
James Anderson,18,3,89,0,4.94,77,15,0,1,0,6,108,England,2,1,7/08/2009,Leeds,England
Stuart Broad,25.1,6,91,6,3.61,114,10,2,1,1,6,151,England,2,4,7/08/2009,Leeds,England
James Anderson,9,3,29,0,3.22,45,5,0,0,0,6,54,England,2,1,20/08/2009,The Oval,England
Stuart Broad,12,1,37,5,3.08,54,6,0,0,0,6,72,England,2,5,20/08/2009,The Oval,England
James Anderson,12,2,46,0,3.83,55,9,0,0,1,6,72,England,4,1,20/08/2009,The Oval,England
Stuart Broad,22,4,71,1,3.22,101,9,0,0,0,6,132,England,4,5,20/08/2009,The Oval,England
James Anderson,37,13,99,2,2.67,178,13,0,1,0,6,222,England,2,1,25/11/2010,Brisbane,Australia
Stuart Broad,33,7,72,0,2.18,159,6,0,1,1,6,198,England,2,2,25/11/2010,Brisbane,Australia
James Anderson,5,2,15,0,3,25,1,0,0,0,6,30,England,4,1,25/11/2010,Brisbane,Australia
Stuart Broad,7,1,18,1,2.57,32,1,0,1,0,6,42,England,4,2,25/11/2010,Brisbane,Australia
James Anderson,19,4,51,4,2.68,93,6,1,0,0,6,114,England,1,1,3/12/2010,Adelaide,Australia
Stuart Broad,18.5,6,39,1,2.07,91,3,0,0,0,6,113,England,1,2,3/12/2010,Adelaide,Australia
James Anderson,22,4,92,2,4.18,98,18,0,0,0,6,132,England,3,1,3/12/2010,Adelaide,Australia
Stuart Broad,11,3,32,0,2.9,52,5,0,0,0,6,66,England,3,2,3/12/2010,Adelaide,Australia
James Anderson,20,3,61,3,3.05,89,7,0,0,0,6,120,England,1,1,16/12/2010,Perth,Australia
James Anderson,26,7,65,1,2.5,123,6,0,1,0,6,156,England,3,1,16/12/2010,Perth,Australia
James Anderson,16,4,44,4,2.75,78,5,0,0,0,6,96,England,1,1,26/12/2010,Melbourne,Australia
James Anderson,20,1,71,1,3.55,91,8,0,1,0,6,120,England,3,1,26/12/2010,Melbourne,Australia
James Anderson,30.1,7,66,4,2.18,149,7,0,0,0,6,181,England,1,1,3/01/2011,Sydney,Australia
James Anderson,18,5,61,3,3.38,82,9,0,1,0,6,108,England,3,1,3/01/2011,Sydney,Australia
James Anderson,24,2,85,5,3.54,96,8,0,0,0,6,144,England,2,1,10/07/2013,Nottingham,England
Stuart Broad,6.5,0,40,1,5.85,23,6,0,0,0,6,41,England,2,4,10/07/2013,Nottingham,England
James Anderson,31.5,11,73,5,2.29,161,12,0,0,0,6,191,England,4,1,10/07/2013,Nottingham,England
Stuart Broad,23,7,54,2,2.34,113,9,0,0,1,6,138,England,4,2,10/07/2013,Nottingham,England
James Anderson,14,8,25,1,1.78,76,3,0,1,0,6,84,England,2,1,18/07/2013,Lord's,England
Stuart Broad,11,3,26,1,2.36,56,4,0,1,0,6,66,England,2,2,18/07/2013,Lord's,England
James Anderson,18,2,55,2,3.05,81,8,0,0,0,6,108,England,4,1,18/07/2013,Lord's,England
Stuart Broad,21,4,54,0,2.57,99,5,0,0,0,6,126,England,4,2,18/07/2013,Lord's,England
James Anderson,33,6,116,0,3.51,148,19,0,0,1,6,198,England,1,1,1/08/2013,Manchester,England
Stuart Broad,33,6,108,1,3.27,144,12,0,0,0,6,198,England,1,2,1/08/2013,Manchester,England
James Anderson,8,0,37,2,4.62,27,3,0,1,0,6,48,England,3,1,1/08/2013,Manchester,England
Stuart Broad,7,2,30,1,4.28,27,4,0,0,0,6,42,England,3,2,1/08/2013,Manchester,England
James Anderson,25,8,65,2,2.6,120,11,0,0,0,6,150,England,2,1,9/08/2013,Chester-le-Street,England
Stuart Broad,24.3,7,71,5,2.89,120,8,0,1,2,6,147,England,2,2,9/08/2013,Chester-le-Street,England
James Anderson,16,1,73,0,4.56,67,11,0,0,0,6,96,England,4,1,9/08/2013,Chester-le-Street,England
Stuart Broad,18.3,3,50,6,2.7,88,7,0,0,0,6,111,England,4,2,9/08/2013,Chester-le-Street,England
James Anderson,29.5,4,95,4,3.18,138,15,0,1,0,6,179,England,1,1,21/08/2013,The Oval,England
Stuart Broad,31,4,128,1,4.12,129,15,0,0,4,6,186,England,1,2,21/08/2013,The Oval,England
James Anderson,6,1,27,1,4.5,25,3,1,0,0,6,36,England,3,1,21/08/2013,The Oval,England
Stuart Broad,10,2,43,4,4.3,35,3,1,0,0,6,60,England,3,2,21/08/2013,The Oval,England
James Anderson,25.1,5,67,2,2.66,119,6,1,0,0,6,151,England,1,1,21/11/2013,Brisbane,Australia
Stuart Broad,24,3,81,6,3.37,104,8,0,1,1,6,144,England,1,2,21/11/2013,Brisbane,Australia
James Anderson,19,2,73,0,3.84,72,7,0,0,0,6,114,England,3,1,21/11/2013,Brisbane,Australia
Stuart Broad,16,4,55,2,3.43,72,7,1,0,0,6,96,England,3,2,21/11/2013,Brisbane,Australia
James Anderson,30,10,85,1,2.83,140,11,0,0,1,6,180,England,1,1,5/12/2013,Adelaide,Australia
