name,dismissal,runs,bf,mins,4s,6s,sr,team,inns,pos,start date,ground,grnd_ctry
Steven Smith,bowled,6,17,22,1,0,35.29,Australia,1,5,2013-12-05,Adelaide,Australia
Alastair Cook,bowled,3,11,13,0,0,27.27,England,2,1,2013-12-05,Adelaide,Australia
Steven Smith,not out,23,54,71,2,0,42.59,Australia,3,5,2013-12-05,Adelaide,Australia
Alastair Cook,caught,1,7,7,0,0,14.28,England,4,1,2013-12-05,Adelaide,Australia
Steven Smith,caught,111,208,295,14,2,53.36,Australia,1,5,2013-12-13,Perth,Australia
Alastair Cook,caught,72,153,212,10,0,47.05,England,2,1,2013-12-13,Perth,Australia
Steven Smith,caught,15,50,59,0,0,30.0,Australia,3,5,2013-12-13,Perth,Australia
Alastair Cook,bowled,0,1,1,0,0,0.0,England,4,1,2013-12-13,Perth,Australia
Alastair Cook,caught,27,47,70,3,0,57.44,England,1,1,2013-12-26,Melbourne,Australia
Steven Smith,caught,19,77,97,3,0,24.67,Australia,2,5,2013-12-26,Melbourne,Australia
Alastair Cook,lbw,51,64,91,7,0,79.68,England,3,1,2013-12-26,Melbourne,Australia
Steven Smith,caught,115,154,249,17,1,74.67,Australia,1,5,2014-01-03,Sydney,Australia
Alastair Cook,lbw,7,19,28,1,0,36.84,England,2,1,2014-01-03,Sydney,Australia
Steven Smith,caught,7,12,27,1,0,58.33,Australia,3,5,2014-01-03,Sydney,Australia
Alastair Cook,caught,7,12,8,1,0,58.33,England,4,1,2014-01-03,Sydney,Australia
Alastair Cook,caught,20,40,58,3,0,50.0,England,1,2,2015-07-08,Cardiff,England
Steven Smith,caught,33,56,78,5,0,58.92,Australia,2,3,2015-07-08,Cardiff,England
Alastair Cook,caught,12,26,30,1,0,46.15,England,3,2,2015-07-08,Cardiff,England
Steven Smith,caught,33,49,77,6,0,67.34,Australia,4,3,2015-07-08,Cardiff,England
Steven Smith,lbw,215,346,503,25,1,62.13,Australia,1,3,2015-07-16,Lord's,England
